"time","V","i_L","der(V)","der(i_L)","i_C","i_R"
0.466,24.59616217303132,0.3144344015518764,68.47277982156317,-0.596162173031324,0.06847277982156316,0.2459616217303132
0.468,24.73047241223285,0.3131068625036507,65.80213838132212,-0.730472412232853,0.06580213838132212,0.2473047241223285
0.47,24.85923109820465,0.3115161847448697,62.92387376282324,-0.8592310982046456,0.06292387376282324,0.2485923109820465
0.472,24.98203862359837,0.3096738802597918,59.85349402380802,-0.982038623598374,0.05985349402380802,0.2498203862359837
0.474,25.09852638264607,0.3075922204881781,56.60695666171744,-1.098526382646071,0.05660695666171744,0.2509852638264607
0.476,25.20835862009951,0.3052841907625948,53.2006045615997,-1.208358620099506,0.0532006045615997,0.2520835862009951
0.478,25.31123209964237,0.3027634075930484,49.65108659662465,-1.311232099642371,0.04965108659662465,0.2531123209964237
0.48,25.40687747203019,0.3000440654092055,45.9752906889036,-1.406877472030189,0.0459752906889036,0.2540687747203019
0.482,25.49505922191714,0.2971408611981902,42.19026897901878,-1.495059221917138,0.04219026897901879,0.2549505922191714
0.484,25.57557586053429,0.2940689283917845,38.31316978644161,-1.575575860534286,0.03831316978644161,0.2557557586053429
0.486,25.64826068029859,0.290843771130982,34.36116432799601,-1.648260680298595,0.03436116432799602,0.256482606802986
0.488,25.71298073500673,0.2874811905308153,30.35138318074798,-1.712980735006727,0.03035138318074798,0.2571298073500673
0.49,25.76963776900973,0.2839972207691327,26.30084307903541,-1.769637769009726,0.02630084307903541,0.2576963776900973
0.492,25.81816696538376,0.2804080579177348,22.22638826389717,-1.81816696538376,0.02222638826389717,0.2581816696538376
0.494,25.85853722727374,0.2767299945240264,18.14462225128893,-1.858537227273743,0.01814462225128893,0.2585853722727374
0.496,25.89075034058012,0.272979351411783,14.07184800598182,-1.890750340580116,0.01407184800598182,0.2589075034058012
0.498,25.9148401022121,0.2691724159469874,10.02401492486649,-1.914840102212096,0.01002401492486649,0.2591484010221209
0.5,25.93087226324744,0.2653253719466333,6.016649314158906,-1.930872263247437,0.006016649314158906,0.2593087226324744
0.502,25.93894267437481,0.2614542461525501,2.064819408801988,-1.938942674374815,0.002064819408801988,0.2593894267437482
